meaning,video_id
"unterrichten, lehren, ausbilden, Unterricht: Wissen vermitteln oder vermittelt bekommen, meist in einer strukturierten Form nach einem Lehrplan und in einer Institution oder formalen Umgebung wie zum Beispiel in der Schule, an der Universität oder in einem Kurs; Unterricht abhalten; als Lehrer oder Kursleiter tätig sein; bei Ausrichtung auf den Gebärdeten: am Unterricht teilnehmen, unterrichtet werden",321
"(Inhalte, Methode) Unterricht, Unterrichtsstoff, Lerninhalte: strukturierte Wissensvermittlung, deren Inhalte und Methoden, meist regelmäßig über einen längeren Zeitraum an einer Bildungseinrichtung in Gruppen und nach einem Lehrplan",321
"Kurs, Seminar, Schulung: eine oder mehrere Unterrichtseinheiten zu einem Thema über einen klar definierten und begrenzten Zeitraum hinweg; zum Beispiel ein Gebärdensprachkurs oder ein Computerkurs",321
"(Beruf, Person) Lehrer, Lehrerin: eine Person, die andere Menschen in einem institutionellen Rahmen wie zum Beispiel in der Schule oder einem Kurs unterrichtet; Bezeichnung einer Person in ihrer Funktion als Lehrerin oder Lehrer sowie als Berufsbezeichnung",321
"(Beruf, Person) Pädagoge, Pädagogin: eine Person mit einer Ausbildung oder einem Studium im Bereich Pädagogik oder einer beruflichen Tätigkeit in Bildung und Erziehung; auch Lehrer und Erzieher sind Pädagogen; auch als Berufsbezeichung",321
September: neunter Monat im Kalenderjahr,321
"fühlen: Häufig in Kombination mit: Gebärde, die dazu verwendet wird, bei einer anderen Person nach einem Zustand, einer Situation, Beschaffenheit, Einschätzung oder Qualität von etwas zu fragen",1449
Material,1449
"merken (spüren, bemerken)",1449
Seide,1449
spüren,1449
"Stoff (Textil, Gewebe)",1449
"Werkstoff, Material: Oberbegriff für (Bau-, Roh-, Werk-) Stoffe, aus denen etwas besteht oder hergestellt wird",1449
"eine Karriere- oder Ausbildungsstufe erreichen: einen Ausbildungs- oder Karriereschritt beginnen, z.B. in den Kindergarten kommen, eingeschult werden, mit einer Arbeit oder bei einer Firma anfangen",969
"Teil einer Gruppe werden, dabei sein: in einem gesellschaftlichen Bereich (z.B. ein Hobby, eine bestimmte Kultur) Zutritt bekommen und mitmachen; Teil einer gesellschaftlichen Gruppe oder Gruppierung werden; auch allgemein in einem Bereich dabei sein und teilnehmen",969
"(Verein, Verband) eintreten: in einer organisierten Gemeinschaft (z.B. Verein, Gremium, Partei) Mitglied werden und damit verbundene Aktivitäten ausüben (z.B. eine Sportart)",969
"in ein Fahrzeug einsteigen: ein Fahrzeug betreten oder in einem Fahrzeug Platz nehmen, um befördert zu werden oder auch selbst zu fahren",969
darf,975
erlauben,975
"anerkennen: Häufig in Kombination mit: durch eine oder mehrere Institutionen des Staates verwaltet, reguliert, geleitet, gefördert, finanziert oder autorisiert oder dem Staat gehörend",977
erlauben,977
"Gegenteil zu: illegal, inoffiziell, unter der Hand: Gegenteil zu: wird zur Bezeichnung von Handlungen oder Strukturen verwendet, die illegal, verboten oder zumindest inoffiziell sind und neben offiziellen Wegen oder Strukturen existieren oder an diesen vorbei arbeiten",977
dürfen,1350
erlauben,1350
(Land) Finnland: Finnland und zu Finnland gehörig,863
"(Person) Finne, Finnin: Person mit finnischer Staatsangehörigkeit oder die aus Finnland stammt",863
(Sprache) Finnisch: in Finnland gesprochene und geschriebene Sprache; auch Finnische Gebärdensprache,863
"gratis, kostenlos: gratis oder ohne zusätzliche Kosten; ohne dafür (zusätzlich) bezahlen zu müssen",369
"zur Verfügung stehend, unbesetzt: zur Verfügung stehend, bereitstehend zur Nutzung oder Inanspruchnahme (z.B. Sitzplatz, Hotelzimmer, Bett, Termin, Ausbildungsplatz); noch nicht besetzt, vergeben oder von jemandem beansprucht",369
"(Freizeit) frei haben: nicht arbeiten oder den alltäglichen Verpflichtungen nachkommen müssen, sondern stattdessen selbstbestimmt über die eigene, unverplante Zeit verfügen können",369
"(Arbeit) Urlaubstage: Tage, die einer Arbeitnehmerin oder einem Arbeitnehmer als arbeitsfreie Tage zur Erholung zustehen",369
Urlaub: Aufenthalt an einem anderen Ort oder Reise in ein anderes Land zur Erholung,369
"frei von, ohne: frei von einer Sache; ohne einen bestimmten Inhaltsstoff oder ohne eine bestimmte Behandlung",369
"(Gefühl) frei, selbstbestimmt: persönliche Freiheit: selbst eigenständig entscheiden und gestalten können; etwas tun können ohne Vorgaben, Anleitung, Plan, Beobachtung, Kontrolle oder äußere Zwänge; Gefühl des inneren Wohlbefindens bei einem selbstbestimmten Leben; innerlich unabhängig sein",369
"politisch frei: politische Freiheit in einer freiheitlich-demokratischen Staatsform: ohne staatliche Einmischung in das persönliche Leben; ohne Druck, Zwang, Gängelung, einengende Vorschriften und Kontrolle durch den Staat, die Polizei und andere öffentliche Organe; insbesondere auch Meinungsfreiheit und Reisefreiheit",369
"(Haft, Gefangenschaft, Strafe) entlassen werden, freikommen: aus einer Gefangenschaft, Haft oder Strafe entlassen werden oder wieder freikommen",369
wild,235
"(Haft, Gefangenschaft, Strafe) entlassen werden, freikommen: aus einer Gefangenschaft, Haft oder Strafe entlassen werden oder wieder freikommen",235
befreien,235
demokratie,235
"Beihilfe: Häufig in Kombination mit: Wendung um auszudrücken, dass man eine Bitte oder einen Wunsch an jemanden richtet oder jemanden auffordert, etwas zu tun; bitte",843
"(Arbeit und Teilhabe) Assistenz: Person, die einen Menschen mit Behinderung am Arbeitsplatz, bei der Kommunikation oder bei anderen Bedarfen unterstützt; Unterstützungstätigkeit am Arbeitsplatz, bei der Kommunikation oder in anderen Bereichen",843
"unterstützen, zur Seite stehen: jemandem zur Seite stehen und Unterstützung bieten oder jemanden an seiner Seite haben und Unterstützung bekommen, z.B. durch einen Kollegen oder eine Dolmetscherin",843
"(konkret) helfen, mitarbeiten: einer Person, Gruppe oder Institution durch Rat, Hilfestellung, Serviceleistung oder Mitarbeit helfen, ihre Ziele zu erreichen, ihre Aufgaben zu erfüllen oder an etwas teilhaben zu können. Häufig in Kombination mit: Gebärde, die anzeigt, dass man eine andere Person um etwas bittet oder sie zu etwas auffordert; meist leitet die Gebärde die Bitte oder Aufforderung ein; auch als Ausdruck der Höflichkeit",843
"(konkret) helfen, mitarbeiten: einer Person, Gruppe oder Institution durch Rat, Hilfestellung, Serviceleistung oder Mitarbeit helfen, ihre Ziele zu erreichen, ihre Aufgaben zu erfüllen oder an etwas teilhaben zu können",630
"finanzieller Zuschuss: einer Person oder Institution durch finanzielle Zuwendungen helfen, z.B. durch (staatliche oder private) Zuschüsse oder die Übernahme oder Erstattung von Kosten",630
"dafür sein, sich einsetzen: mit einer Meinung, Idee oder Position übereinstimmen und dies offen äußern und gegenüber anderen vertreten; sich (z.B. politisch) für etwas einsetzen",630
"Gerät oder Hilfsmittel zur Verbesserung: Ein Gerät, eine Sache oder eine Methode trägt dazu bei, dass etwas anderes funktioniert, ausreicht oder erfolgreich ist oder besser läuft.",630
"Berliner Mauer: die Mauer, die von August 1961 bis November 1989 die Grenze zwischen dem geteilten Ost- und Westberlin befestigte, im Weiteren Sinne auch die gesamte innerdeutsche Grenze",1404
"(Bauwerk) Mauer: Bauwerk aus Steinen oder Beton, das verschiedene Bereiche voneinander trennt, bspw. eine Wand oder eine Gartenmauer",1404
begrenzen,1459
Mauer,1459
"(Beschaffenheit) Technik: Funktionsweise und Beschaffenheit eines Objekts, z.B. eines Geräts",345
"Elektronik: durch Strom betrieben, auf Elektronik basierend",345
"(Art und Weise, Ausführung) Technik, Methode: bestimmte Art und Weise, etwas zu tun oder auszuführen, erlernte Fertigkeiten zum Beispiel im Handwerk, in der Kunst oder im Sport",345
"(Konzept, Festlegung) Plan, planen: Planung und Festlegung von Schritten sowie Zielen eines Ablaufs oder Ereignisses sowie das Ergebnis dieses Planungsrozesses",345
"Politik: Gesamtheit Amtsträger und gewählten Vertreter eines Staates oder einer Organisation mit ihrem Handeln in Regierung und Gesetzgebung und der Parteien, die zur politischen Willensbildung beitragen",345
"(Beruf) Politiker, Politikerin: Person, die Teil einer Regierung oder einer anderen Institution ist, die zur Organisation einer Gemeinschaft beiträgt",345
"Vorbereitung: Aneignen von Eigenschaften oder Organisation von Gegenständen, damit alles für ein bestimmtes Ereignis bereit ist",345
"schwierige Situation, Problem: Situation, die das Erreichen eines Ziels, normale Abläufe oder das Leben erschwert",345
"(politisch) Westdeutschland: politisch-geografische Bezeichnung für den südlichen und westlichen Teil Deutschlands, der nach dem Zweiten Weltkrieg bis zur Wiedervereinigung die Bundesrepublik Deutschland bildete; auch zur Bezeichnung der BRD",285
"(Geografie) westliche Regionen: westlich gelegenes Gebiet bezogen auf eine geografische oder geopolitische Einheit, z.B. Westeuropa; bezogen auf die Welt z.B. Amerika; häufig in Wortverbindungen für geografische Bezeichnungen wie Westküste, Westafrika",285
"(Himmelsrichtung) Westen: Himmelsrichtung Westen, definiert durch die Erddrehung; Richtung, in der die Sonne untergeht",285
"(politisch) westliche Welt: historisch-politische Bezeichnung für die Länder, die im historischen Ost-West-Konflikt (Kalter Krieg) zu den den USA assoziierten freiheitlichen Staaten gehörten",285
"sich unterhalten, austauschen: sich über etwas unterhalten und sich dabei gegenseitig Ideen, Erfahrungen, Meinungen oder Wissen mitteilen",637
"(Sache) tauschen: eine Sache für eine andere, gleichwertige Sache geben; gegenseitiges Geben",637
"(Sache) ersetzen, austauschen: eine Sache, die alt oder kaputt ist, durch eine gleichartige Sache ersetzen, die neu oder funktionstüchtig ist",637
"(Geld) wechseln, tauschen: Geld von einer Währung in eine andere Währung wechseln",637
"Handel treiben: kaufen und verkaufen von Waren, Handel treiben",637
"mit Menschen umgehen, jmd. behandeln: mit Menschen umgehen; das Benehmen gegenüber einem anderen Menschen",637
"(Medizin) behandeln, Behandlung: ärztliche oder therapeutische Versorgung; ärztliche oder therapeutische Versorgung erhalten",637
Umgang,999
umgehen,999
"mit Menschen umgehen, jmd. behandeln: mit Menschen umgehen; das Benehmen gegenüber einem anderen Menschen",999
entscheiden,1377
"(Verhalten) frech, respektlos, unverschämt: sich vor allem gegenüber Autoritätspersonen unangemessen oder respektlos verhalten; andere ärgern und durch das eigene Verhalten absichtlich herausfordern",149
"(Verhalten) gemein, unfair, Gemeinheit: Ausdruck, mit dem das Verhalten einer Person oder Einrichtung kommentiert und als unfair bewertet wird, weil es zum Nachteil für andere ist und dies trotzdem oder absichtlich bewusst so entschieden oder getan wird",149
(Land) USA: Land der Vereinigten Staaten von Amerika,149
"selbstbewusst: Charaktereigenschaft oder innere Einstellung und entsprechendes Verhalten einer Person, die sich durch Selbstvertrauen, innere Stärke, Unerschrockenheit, Zuversicht und Tatkraft auszeichnet",256
"mutig, kühn: trotz einer Gefährdung oder eines Risikos für sich selbst etwas tun, vor allem um anderen zu helfen oder seiner eigenen Überzeugung gemäß zu handeln; für ein höheres Ziel bewusst ein Risiko in Kauf nehmen; keine Angst haben oder zeigen",256
"sich einen Ruck geben: sich in einer konkreten Entscheidungssituation entschließen, etwas zu tun, obwohl man Angst oder Bedenken hat",256
"sich trauen: sich auf etwas einlassen oder etwas tun, obwohl man Angst oder Scheu davor hat oder es einem unangenehm ist",256
"(Lebewesen) Tier: Oberbegriff für Lebewesen wie Vögel, Säugetiere, Fische, Echsen, Insekten",133
"(Stadt) Trier: Trier, Stadt in Rheinland-Pfalz",133
"(Tier) Wolf: wild lebendes Raubtier, von dem der Hund abstammen soll",133
"(Tier) Löwe: beigefarbene Großkatze und wild lebendes Raubtier, das in Afrika beheimatet ist; die Löwen-Männchen tragen eine Mähne",133
"(Stadt) Wolfsburg: Wolfsburg, Stadt in Niedersachsen",133
"(Kinder) spielen, toben: zum Vergnügen mit anderen Kindern gemeinsam herumtoben oder etwas spielen; gemeinsam die Freizeit mit Aktivitäten verbringen",763
"entspannt, locker: nicht gefühlsgeladen oder angespannt, ohne Druck",763
"nicht streng, locker: sich nicht streng nach Regeln verhalten",763
"aufgeschlossen, tolerant: offen für Andersartigkeit sein, nicht engstirnig oder kleingeistig sein",690
"locker, gelassen sein: sich nicht streng nach Regeln verhalten und mit Abweichungen gut umgehen können",690
"(Stadtteil Berlin) Charlottenburg: Charlottenburg, Stadtteil von Berlin",690
"(Leistung, Ware) bezahlen: jemandem Geld als Gegenwert für eine Sache, Leistung, Arbeit geben",126
"(Kosten übernehmen) bezahlen, finanzieren: für etwas, z.B. eine Leistung oder ein Angebot, finanziell aufkommen oder die finanziellen Mittel dafür aufbringen oder bereitstellen, z.B. eine Krankenkasse für Hörgeräte",126
"(Kosten übernehmen) bezahlen, finanzieren: für etwas, z.B. eine Leistung oder ein Angebot, finanziell aufkommen oder die finanziellen Mittel dafür aufbringen oder bereitstellen, z.B. eine Krankenkasse für Hörgeräte. Häufig in Kombination mit: Institution, die Personen für den Krankheitsfall versichert und bestimmte Kosten übernimmt",717
bezahlen,717
